brand,car,carname,accel,topspeed,range,efficiency,charge,power,body,seats,price,pricek,price_km,time_charge
Aiways,U5,U5,9,150,335,188,350,FWD,SUV,5,56249,56.25,168,1.86
Audi,e-tron50quattro,e-tron,7,190,280,231,450,AWD,SUV,5,105078,105.08,375,1.95
Audi,e-tron55quattro,e-tron,6,200,365,237,590,AWD,SUV,5,123934,123.93,340,2.49
Audi,e-tronGT,e-tron,4,240,425,197,850,AWD,Sedan,4,195000,195,459,4.31
Audi,e-tronS55quattro,e-tron,5,210,320,270,510,AWD,SUV,5,146328,146.33,457,1.89
Audi,e-tronSSportback55quattro,e-tron,5,210,335,258,540,AWD,SUV,5,149838,149.84,447,2.09
Audi,e-tronSportback50quattro,e-tron,7,190,295,219,470,AWD,SUV,5,108500,108.5,368,2.15
Audi,e-tronSportback55quattro,e-tron,6,200,380,228,610,AWD,SUV,5,127357,127.36,335,2.68
Audi,Q4e-tron,Q4e-tron,6,180,400,193,540,AWD,SUV,5,85800,85.8,215,2.8
Audi,Q4Sportbacke-tron,Q4e-tron,6,180,410,188,550,AWD,SUV,5,89700,89.7,219,2.93
BMW,i3120Ah,i3,7,150,235,161,270,RWD,Hatchback,4,59307,59.31,252,1.68
BMW,i3s120Ah,i3,7,160,230,165,260,RWD,Hatchback,4,64781,64.78,282,1.58
BMW,i4,i4,4,200,450,178,650,RWD,Sedan,5,101400,101.4,225,3.65
BMW,iX3,iX3,7,180,360,206,560,RWD,SUV,5,106142,106.14,295,2.72
Byton,M-Byte72kWh2WD,M-Byte,8,190,325,222,420,RWD,SUV,5,83460,83.46,257,1.89
Byton,M-Byte95kWh2WD,M-Byte,8,190,400,238,480,AWD,SUV,5,96720,96.72,242,2.02
Byton,M-Byte95kWh4WD,M-Byte,6,190,390,244,460,AWD,SUV,5,99840,99.84,256,1.89
Citroen,e-C4,e-C4,10,150,250,180,380,FWD,SUV,5,62400,62.4,250,2.11
CUPRA,el-Born,el-Born,7,160,425,181,570,RWD,Hatchback,4,70200,70.2,165,3.15
DS,3CrossbackE-Tense,Crossback,9,150,250,180,380,FWD,SUV,5,58378,58.38,234,2.11
Fiat,500eConvertible,500e,9,150,250,168,330,FWD,Hatchback,4,59124,59.12,236,1.96
Fiat,500eHatchback,500e,9,150,250,168,330,FWD,Hatchback,4,54444,54.44,218,1.96
Ford,MustangMach-EERAWD,Mach-E,6,180,430,209,410,AWD,SUV,5,98124,98.12,228,1.96
Ford,MustangMach-EERRWD,Mach-E,7,180,450,200,430,RWD,SUV,5,84981,84.98,189,2.15
Ford,MustangMach-ESRAWD,Mach-E,6,180,340,206,360,AWD,SUV,5,84240,84.24,248,1.75
Ford,MustangMach-ESRRWD,Mach-E,7,180,360,194,380,RWD,SUV,5,73164,73.16,203,1.96
Honda,e,e,10,145,170,168,190,RWD,Hatchback,4,51475,51.48,303,1.13
Honda,eAdvance,e,8,145,170,168,190,RWD,Hatchback,4,56037,56.04,330,1.13
